编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,1.你的性别,2.身高: ________:1[题目填空],3.体重: ________:1[题目填空]
27,2020/10/27 18:52,2020/10/27 18:52,22,中国,北京市,北京市,,A.男生,"	1.72","	76"
26,2020/10/27 18:51,2020/10/27 18:52,30,中国,北京市,北京市,,A.男生,"	1.69","	52"
25,2020/10/27 18:51,2020/10/27 18:52,31,中国,北京市,北京市,,A.男生,"	1.69","	63.5"
24,2020/10/27 18:50,2020/10/27 18:51,58,中国,北京市,北京市,,A.男生,"	1.79","	65"
23,2020/10/27 18:51,2020/10/27 18:51,41,中国,北京市,北京市,,B.女生,"	1.59","	52"
22,2020/10/27 18:50,2020/10/27 18:51,49,中国,北京市,北京市,,A.男生,"	1.8","	72"
21,2020/10/27 18:50,2020/10/27 18:51,39,中国,北京市,北京市,,A.男生,"	1.63","	53"
20,2020/10/27 18:50,2020/10/27 18:51,37,中国,北京市,北京市,,A.男生,"	1.7","	63"
19,2020/10/27 18:49,2020/10/27 18:50,55,中国,北京市,北京市,,A.男生,"	1.71","	58"
18,2020/10/27 18:49,2020/10/27 18:50,43,中国,北京市,北京市,,A.男生,"	1.88","	80"
17,2020/10/27 18:48,2020/10/27 18:49,43,中国,北京市,北京市,,A.男生,"	1.82","	65"
16,2020/10/27 18:48,2020/10/27 18:49,34,中国,北京市,北京市,,B.女生,"	1.54","	53"
15,2020/10/27 18:48,2020/10/27 18:48,33,中国,北京市,北京市,,A.男生,"	1.8","	78"
14,2020/10/27 18:47,2020/10/27 18:47,37,中国,北京市,北京市,,A.男生,"	1.73","	65"
13,2020/10/27 18:47,2020/10/27 18:47,20,中国,北京市,北京市,,A.男生,"	1.75","	89"
12,2020/10/27 18:47,2020/10/27 18:47,26,中国,北京市,北京市,,A.男生,"	1.83","	70"
11,2020/10/27 18:45,2020/10/27 18:46,39,中国,北京市,北京市,,A.男生,"	1.7","	65"
10,2020/10/27 18:45,2020/10/27 18:45,47,中国,北京市,北京市,,A.男生,"	1.85","	95"
9,2020/10/27 18:44,2020/10/27 18:44,22,中国,北京市,北京市,,A.男生,"	1.78","	55"
8,2020/10/27 18:44,2020/10/27 18:44,25,中国,北京市,北京市,,A.男生,"	1.79","	62"
7,2020/10/27 18:43,2020/10/27 18:44,23,中国,北京市,北京市,,A.男生,"	1.72","	50"
6,2020/10/27 18:42,2020/10/27 18:42,28,中国,北京市,北京市,,A.男生,"	1.68","	57"
5,2020/10/27 18:42,2020/10/27 18:42,16,中国,北京市,北京市,,B.女生,"	1.60","	57"
4,2020/10/27 18:41,2020/10/27 18:42,43,中国,北京市,北京市,,A.男生,"	1.75","	61"
3,2020/10/27 18:41,2020/10/27 18:42,29,中国,北京市,北京市,,B.女生,"	1.65","	60"
2,2020/10/27 18:41,2020/10/27 18:42,33,中国,北京市,北京市,,B.女生,"	1.68","	53"
1,2020/10/27 18:41,2020/10/27 18:42,24,中国,北京市,北京市,,A.男生,"	1.78","	65"
